,X,after_wrms_name,AlphiaID,gen_spp,kingdom,subkingdom,infrakingdom,phylum,subphylum,infraphylum,superclass,class,superorder,order,suborder,family,subfamily,genus,species,tribe,superfamily,na,wormsid_kingdom,wormsid_subkingdom,wormsid_infrakingdom,wormsid_phylum,wormsid_subphylum,wormsid_infraphylum,wormsid_superclass,wormsid_class,wormsid_superorder,wormsid_order,wormsid_suborder,wormsid_family,wormsid_subfamily,wormsid_genus,wormsid_species,wormsid_tribe,wormsid_superfamily,wormsid_na,species_ID
49,49,Pomadasys commersonnii,218563,Pomadasys commersonnii,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Haemulidae,NA,Pomadasys,Pomadasys commersonnii,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,167641,169055,NA,169091,630243,NA,NA,NA,SP65
48,48,Plectropomus leopardus,218261,plectropomus leopardus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Serranidae,Epinephelinae,Plectropomus,Plectropomus leopardus,Epinephelini,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,167641,167674,551018,167932,167933,643094,NA,NA,SP32
55,55,Sardinops sagax,217452,Sardinops sagax,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Clupeomorpha,Clupeiformes,Clupeoidei,Clupeidae,Clupeinae,Sardinops,Sardinops sagax,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,161693,161694,161699,161700,551153,161728,161729,NA,NA,NA,SP20
82,82,Chromis atripectoralis,212812,Chromis atripectoralis,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Labroidei,Pomacentridae,NA,Chromis,Chromis atripectoralis,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,170476,170044,NA,170079,170103,NA,NA,NA,SP112
1,1,Albula vulpes,212256,Albula vulpes,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Elopomorpha,Albuliformes,Albuloidei,Albulidae,Albulinae,Albula,Albula vulpes,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,161106,553134,161118,161119,635300,161120,161121,NA,NA,NA,SP46
85,85,Cheilodipterus quinquelineatus,209371,Cheilodipterus quinquelineatus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Apogonidae,Apogoninae,Cheilodipterus,Cheilodipterus quinquelineatus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,167641,168196,642031,168288,168291,NA,NA,NA,SP115
8,8,Bathygobius cocosensis,209216,Bathygobius cocosensis,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Gobioidei,Gobiidae,NA,Bathygobius,Bathygobius cocosensis,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,171745,171746,NA,171817,553398,NA,NA,NA,SP92
37,37,Lutjanus griseus,159797,Lutjanus griseus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Lutjanidae,Lutjaninae,Lutjanus,Lutjanus griseus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,167641,168845,643065,168846,168848,NA,NA,NA,SP82
38,38,Lutjanus apodus,159793,Lutjanus apodus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Lutjanidae,Lutjaninae,Lutjanus,Lutjanus apodus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,167641,168845,643065,168846,168850,NA,NA,NA,SP85
63,63,Tautogolabrus adspersus,159785,tautogolabrus adspersus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Labroidei,Labridae,NA,Tautogolabrus,Tautogolabrus adspersus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,170476,170477,NA,170480,170481,NA,NA,NA,SP27
